Player,Years,Goals,Team Drafted,website
Wayne Gretzky,(1979-1999),894,Edmonton Oilers,http://www.hockeydb.com/ihdb/stats/pdisplay.php?encode=TRUE&pid=2035
Gordie Howe,(1946-1980),801,Detroit Red Wings,http://www.hockeydb.com/ihdb/stats/pdisplay.php?encode=TRUE&pid=2378
Jaromir Jagr,(1990-2017),751,Pittsburg Penguins,http://www.hockeydb.com/ihdb/stats/pdisplay.php?encode=TRUE&pid=2497
Brett Hull,(1985-2006),741,Calgary Flames,http://www.hockeydb.com/ihdb/stats/pdisplay.php?encode=TRUE&pid=2410
Alex Ovechkin,(2005-2024),730,Washington Capitals,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=63735
